sample_id,image_filename,simulation_time,normalized_error,steering_correction,steering_target,left_speed,right_speed,line_detected,contour_area,source_run,source_image_path
1,frame_000001.png,0.064,-0.0625,-0.207104,-0.13807,0.992896,1.407104,1,9770.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000001.png
2,frame_000002.png,0.128,-0.0625,-0.165715,-0.110477,1.034285,1.365715,1,11604.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000002.png
3,frame_000003.png,0.192,-0.05625,-0.122028,-0.081352,1.077972,1.322028,1,11201.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000003.png
4,frame_000004.png,0.256,-0.05,-0.092532,-0.061688,1.107468,1.292532,1,10942.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000004.png
5,frame_000005.png,0.32,-0.04375,-0.067967,-0.045312,1.132033,1.267967,1,10806.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000005.png
6,frame_000006.png,0.384,-0.04375,-0.072685,-0.048457,1.127315,1.272685,1,10712.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000006.png
7,frame_000007.png,0.448,-0.04375,-0.075338,-0.050226,1.124662,1.275338,1,10645.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000007.png
8,frame_000008.png,0.512,-0.04375,-0.076831,-0.051221,1.123169,1.276831,1,10609.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000008.png
9,frame_000009.png,0.576,-0.0375,-0.054213,-0.036142,1.145787,1.254213,1,10566.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000009.png
10,frame_000010.png,0.64,-0.0375,-0.060026,-0.040018,1.139974,1.260026,1,10555.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000010.png
11,frame_000011.png,0.704,-0.0375,-0.063296,-0.042197,1.136704,1.263296,1,10531.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000011.png
12,frame_000012.png,0.768,-0.0375,-0.065135,-0.043424,1.134865,1.265135,1,10521.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000012.png
13,frame_000013.png,0.832,-0.0375,-0.06617,-0.044113,1.13383,1.26617,1,10500.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000013.png
14,frame_000014.png,0.896,-0.03125,-0.043295,-0.028863,1.156705,1.243295,1,10489.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000014.png
15,frame_000015.png,0.96,-0.03125,-0.048963,-0.032642,1.151037,1.248963,1,10474.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000015.png
16,frame_000016.png,1.024,-0.03125,-0.052151,-0.034767,1.147849,1.252151,1,10458.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000016.png
17,frame_000017.png,1.088,-0.03125,-0.053944,-0.035963,1.146056,1.253944,1,10452.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000017.png
18,frame_000018.png,1.152,-0.03125,-0.054953,-0.036635,1.145047,1.254953,1,10445.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000018.png
19,frame_000019.png,1.216,-0.03125,-0.05552,-0.037014,1.14448,1.25552,1,10444.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000019.png
20,frame_000020.png,1.28,-0.03125,-0.05584,-0.037226,1.14416,1.25584,1,10441.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000020.png
21,frame_000021.png,1.344,-0.03125,-0.056019,-0.037346,1.143981,1.256019,1,10441.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000021.png
22,frame_000022.png,1.408,-0.025,-0.032663,-0.021775,1.167337,1.232663,1,10436.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000022.png
23,frame_000023.png,1.472,-0.025,-0.038061,-0.025374,1.161939,1.238061,1,10431.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000023.png
24,frame_000024.png,1.536,-0.025,-0.041097,-0.027398,1.158903,1.241097,1,10426.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000024.png
25,frame_000025.png,1.6,-0.025,-0.042804,-0.028536,1.157196,1.242804,1,10421.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000025.png
26,frame_000026.png,1.664,-0.025,-0.043765,-0.029177,1.156235,1.243765,1,10413.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000026.png
27,frame_000027.png,1.728,-0.025,-0.044305,-0.029537,1.155695,1.244305,1,10404.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000027.png
28,frame_000028.png,1.792,-0.025,-0.044609,-0.029739,1.155391,1.244609,1,10401.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000028.png
29,frame_000029.png,1.856,-0.025,-0.04478,-0.029853,1.15522,1.24478,1,10405.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000029.png
30,frame_000030.png,1.92,-0.025,-0.044876,-0.029918,1.155124,1.244876,1,10419.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000030.png
31,frame_000031.png,1.984,-0.025,-0.04493,-0.029954,1.15507,1.24493,1,10428.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000031.png
32,frame_000032.png,2.048,-0.01875,-0.024556,-0.01637,1.175444,1.224556,1,10443.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000032.png
33,frame_000033.png,2.112,-0.01875,-0.028578,-0.019052,1.171422,1.228578,1,10452.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000033.png
34,frame_000034.png,2.176,-0.025,-0.054298,-0.036199,1.145702,1.254298,1,10454.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000034.png
35,frame_000035.png,2.24,-0.01875,-0.029825,-0.019883,1.170175,1.229825,1,10467.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000035.png
36,frame_000036.png,2.304,-0.01875,-0.031542,-0.021028,1.168458,1.231542,1,10468.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000036.png
37,frame_000037.png,2.368,-0.01875,-0.032508,-0.021672,1.167492,1.232508,1,10477.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000037.png
38,frame_000038.png,2.432,-0.01875,-0.033051,-0.022034,1.166949,1.233051,1,10482.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000038.png
39,frame_000039.png,2.496,-0.01875,-0.033357,-0.022238,1.166643,1.233357,1,10498.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000039.png
40,frame_000040.png,2.56,-0.01875,-0.033529,-0.022353,1.166471,1.233529,1,10505.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000040.png
41,frame_000041.png,2.624,-0.01875,-0.033626,-0.022417,1.166374,1.233626,1,10510.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000041.png
42,frame_000042.png,2.688,-0.01875,-0.03368,-0.022453,1.16632,1.23368,1,10523.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000042.png
43,frame_000043.png,2.752,-0.01875,-0.033711,-0.022474,1.166289,1.233711,1,10528.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000043.png
44,frame_000044.png,2.816,-0.01875,-0.033728,-0.022485,1.166272,1.233728,1,10538.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000044.png
45,frame_000045.png,2.88,-0.025,-0.057195,-0.03813,1.142805,1.257195,1,10549.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000045.png
46,frame_000046.png,2.944,-0.01875,-0.031454,-0.020969,1.168546,1.231454,1,10560.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000046.png
47,frame_000047.png,3.008,-0.025,-0.055916,-0.037277,1.144084,1.255916,1,10565.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000047.png
48,frame_000048.png,3.072,-0.01875,-0.030735,-0.02049,1.169265,1.230735,1,10572.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000048.png
49,frame_000049.png,3.136,-0.01875,-0.029002,-0.019335,1.170998,1.229002,1,10572.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000049.png
50,frame_000050.png,3.2,-0.01875,-0.028028,-0.018685,1.171972,1.228028,1,10577.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000050.png
51,frame_000051.png,3.264,-0.01875,-0.027479,-0.01832,1.172521,1.227479,1,10572.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000051.png
52,frame_000052.png,3.328,-0.01875,-0.027171,-0.018114,1.172829,1.227171,1,10578.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000052.png
53,frame_000053.png,3.392,-0.025,-0.050455,-0.033636,1.149545,1.250455,1,10579.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000053.png
54,frame_000054.png,3.456,-0.025,-0.05112,-0.03408,1.14888,1.25112,1,10585.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000054.png
55,frame_000055.png,3.52,-0.01875,-0.024985,-0.016657,1.175015,1.224985,1,10593.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000055.png
56,frame_000056.png,3.584,-0.025,-0.049225,-0.032817,1.150775,1.249225,1,10604.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000056.png
57,frame_000057.png,3.648,-0.01875,-0.02392,-0.015946,1.17608,1.22392,1,10607.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000057.png
58,frame_000058.png,3.712,-0.025,-0.048626,-0.032417,1.151374,1.248626,1,10618.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000058.png
59,frame_000059.png,3.776,-0.025,-0.047039,-0.03136,1.152961,1.247039,1,10623.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000059.png
60,frame_000060.png,3.84,-0.025,-0.046147,-0.030765,1.153853,1.246147,1,10626.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000060.png
61,frame_000061.png,3.904,-0.025,-0.045645,-0.03043,1.154355,1.245645,1,10635.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000061.png
62,frame_000062.png,3.968,-0.025,-0.045363,-0.030242,1.154637,1.245363,1,10636.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000062.png
63,frame_000063.png,4.032,-0.025,-0.045204,-0.030136,1.154796,1.245204,1,10640.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000063.png
64,frame_000064.png,4.096,-0.025,-0.045115,-0.030077,1.154885,1.245115,1,10630.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000064.png
65,frame_000065.png,4.16,-0.025,-0.045065,-0.030043,1.154935,1.245065,1,10635.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000065.png
66,frame_000066.png,4.224,-0.025,-0.045036,-0.030024,1.154964,1.245036,1,10632.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000066.png
67,frame_000067.png,4.288,-0.025,-0.04502,-0.030014,1.15498,1.24502,1,10648.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000067.png
68,frame_000068.png,4.352,-0.025,-0.045011,-0.030008,1.154989,1.245011,1,10644.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000068.png
69,frame_000069.png,4.416,-0.025,-0.045006,-0.030004,1.154994,1.245006,1,10656.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000069.png
70,frame_000070.png,4.48,-0.025,-0.045004,-0.030002,1.154996,1.245004,1,10664.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000070.png
71,frame_000071.png,4.544,-0.025,-0.045002,-0.030001,1.154998,1.245002,1,10662.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000071.png
72,frame_000072.png,4.608,-0.025,-0.045001,-0.030001,1.154999,1.245001,1,10688.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000072.png
73,frame_000073.png,4.672,-0.025,-0.045001,-0.03,1.154999,1.245001,1,10678.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000073.png
74,frame_000074.png,4.736,-0.025,-0.045,-0.03,1.155,1.245,1,10689.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000074.png
75,frame_000075.png,4.8,-0.025,-0.045,-0.03,1.155,1.245,1,10687.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000075.png
76,frame_000076.png,4.864,-0.025,-0.045,-0.03,1.155,1.245,1,10675.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000076.png
77,frame_000077.png,4.928,-0.025,-0.045,-0.03,1.155,1.245,1,10680.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000077.png
78,frame_000078.png,4.992,-0.03125,-0.065405,-0.043604,1.134595,1.265405,1,10657.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000078.png
79,frame_000079.png,5.056,-0.025,-0.037943,-0.025295,1.162057,1.237943,1,10657.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000079.png
80,frame_000080.png,5.12,-0.03125,-0.061436,-0.040957,1.138564,1.261436,1,10641.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000080.png
81,frame_000081.png,5.184,-0.03125,-0.059167,-0.039445,1.140833,1.259167,1,10647.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000081.png
82,frame_000082.png,5.248,-0.03125,-0.057891,-0.038594,1.142109,1.257891,1,10636.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000082.png
83,frame_000083.png,5.312,-0.03125,-0.057173,-0.038115,1.142827,1.257173,1,10629.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000083.png
84,frame_000084.png,5.376,-0.03125,-0.059821,-0.039881,1.140179,1.259821,1,10642.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000084.png
85,frame_000085.png,5.44,-0.03125,-0.058259,-0.038839,1.141741,1.258259,1,10623.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000085.png
86,frame_000086.png,5.504,-0.03125,-0.05738,-0.038253,1.14262,1.25738,1,10624.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000086.png
87,frame_000087.png,5.568,-0.03125,-0.056886,-0.037924,1.143114,1.256886,1,10608.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000087.png
88,frame_000088.png,5.632,-0.03125,-0.056607,-0.037738,1.143393,1.256607,1,10589.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000088.png
89,frame_000089.png,5.696,-0.03125,-0.059503,-0.039669,1.140497,1.259503,1,10580.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000089.png
90,frame_000090.png,5.76,-0.025,-0.034623,-0.023082,1.165377,1.234623,1,10576.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000090.png
91,frame_000091.png,5.824,-0.03125,-0.059568,-0.039712,1.140432,1.259568,1,10564.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000091.png
92,frame_000092.png,5.888,-0.03125,-0.061168,-0.040779,1.138832,1.261168,1,10555.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000092.png
93,frame_000093.png,5.952,-0.03125,-0.062068,-0.041379,1.137932,1.262068,1,10553.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000093.png
94,frame_000094.png,6.016,-0.025,-0.039117,-0.026078,1.160883,1.239117,1,10553.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000094.png
95,frame_000095.png,6.08,-0.025,-0.038639,-0.02576,1.161361,1.238639,1,10554.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000095.png
96,frame_000096.png,6.144,-0.03125,-0.064879,-0.043253,1.135121,1.264879,1,10555.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000096.png
97,frame_000097.png,6.208,-0.025,-0.040699,-0.027132,1.159301,1.240699,1,10551.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000097.png
98,frame_000098.png,6.272,-0.025,-0.039529,-0.026352,1.160471,1.239529,1,10566.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000098.png
99,frame_000099.png,6.336,-0.025,-0.041922,-0.027948,1.158078,1.241922,1,10572.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000099.png
100,frame_000100.png,6.4,-0.025,-0.040217,-0.026811,1.159783,1.240217,1,10570.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000100.png
101,frame_000101.png,6.464,-0.025,-0.04231,-0.028206,1.15769,1.24231,1,10578.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000101.png
102,frame_000102.png,6.528,-0.025,-0.043487,-0.028991,1.156513,1.243487,1,10574.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000102.png
103,frame_000103.png,6.592,-0.025,-0.044149,-0.029432,1.155851,1.244149,1,10565.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000103.png
104,frame_000104.png,6.656,-0.025,-0.044521,-0.029681,1.155479,1.244521,1,10560.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000104.png
105,frame_000105.png,6.72,-0.025,-0.044731,-0.02982,1.155269,1.244731,1,10554.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000105.png
106,frame_000106.png,6.784,-0.025,-0.044848,-0.029899,1.155152,1.244848,1,10560.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000106.png
107,frame_000107.png,6.848,-0.025,-0.044915,-0.029943,1.155085,1.244915,1,10553.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000107.png
108,frame_000108.png,6.912,-0.025,-0.044952,-0.029968,1.155048,1.244952,1,10562.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000108.png
109,frame_000109.png,6.976,-0.025,-0.044973,-0.029982,1.155027,1.244973,1,10580.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000109.png
110,frame_000110.png,7.04,-0.025,-0.044985,-0.02999,1.155015,1.244985,1,10582.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000110.png
111,frame_000111.png,7.104,-0.025,-0.044991,-0.029994,1.155009,1.244991,1,10582.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000111.png
112,frame_000112.png,7.168,-0.01875,-0.021538,-0.014359,1.178462,1.221538,1,10573.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000112.png
113,frame_000113.png,7.232,-0.01875,-0.026881,-0.017921,1.173119,1.226881,1,10571.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000113.png
114,frame_000114.png,7.296,-0.01875,-0.029886,-0.019924,1.170114,1.229886,1,10558.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000114.png
115,frame_000115.png,7.36,-0.01875,-0.031577,-0.021051,1.168423,1.231577,1,10558.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000115.png
116,frame_000116.png,7.424,-0.01875,-0.032527,-0.021685,1.167473,1.232527,1,10550.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000116.png
117,frame_000117.png,7.488,-0.01875,-0.033062,-0.022042,1.166938,1.233062,1,10540.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000117.png
118,frame_000118.png,7.552,-0.01875,-0.033363,-0.022242,1.166637,1.233363,1,10544.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000118.png
119,frame_000119.png,7.616,-0.01875,-0.033532,-0.022355,1.166468,1.233532,1,10535.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000119.png
120,frame_000120.png,7.68,-0.0125,-0.010171,-0.00678,1.189829,1.210171,1,10536.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000120.png
121,frame_000121.png,7.744,-0.0125,-0.015565,-0.010376,1.184435,1.215565,1,10544.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000121.png
122,frame_000122.png,7.808,-0.0125,-0.018599,-0.012399,1.181401,1.218599,1,10541.5,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000122.png
123,frame_000123.png,7.872,-0.0125,-0.020306,-0.013537,1.179694,1.220306,1,10542.0,run_20260720_210122,D:\robotics_projects\vision_line_following\data\cnn_dataset\runs\run_20260720_210122\images\frame_000123.png
