prepared_sample_id,group_id,image_filename,steering_target,category,augmentation,source_run,source_sample_id,source_image_filename
1,medium_y_negative_003__000014,sample_000001_original.png,-0.241988,strong_negative,original,medium_y_negative_003,14,frame_000014.png
2,medium_y_negative_003__000014,sample_000002_mirrored.png,0.241988,strong_positive,horizontal_reflection,medium_y_negative_003,14,frame_000014.png
3,recovery_y_positive_005__000027,sample_000003_original.png,0.126116,medium_positive,original,recovery_y_positive_005,27,frame_000027.png
4,recovery_y_positive_005__000027,sample_000004_mirrored.png,-0.126116,medium_negative,horizontal_reflection,recovery_y_positive_005,27,frame_000027.png
5,recovery_y_positive_005__000009,sample_000005_original.png,0.489034,strong_positive,original,recovery_y_positive_005,9,frame_000009.png
6,recovery_y_positive_005__000009,sample_000006_mirrored.png,-0.489034,strong_negative,horizontal_reflection,recovery_y_positive_005,9,frame_000009.png
7,run_20260720_210122__000457,sample_000007_original.png,-0.00068,centre,original,run_20260720_210122,457,frame_000457.png
8,run_20260720_210122__000457,sample_000008_mirrored.png,0.00068,centre,horizontal_reflection,run_20260720_210122,457,frame_000457.png
9,recovery_y_positive_005__000069,sample_000009_original.png,-0.087898,medium_negative,original,recovery_y_positive_005,69,frame_000069.png
10,recovery_y_positive_005__000069,sample_000010_mirrored.png,0.087898,medium_positive,horizontal_reflection,recovery_y_positive_005,69,frame_000069.png
11,run_20260720_210122__000308,sample_000011_original.png,0.0375,centre,original,run_20260720_210122,308,frame_000308.png
12,run_20260720_210122__000308,sample_000012_mirrored.png,-0.0375,centre,horizontal_reflection,run_20260720_210122,308,frame_000308.png
13,recovery_y_positive_005__000088,sample_000013_original.png,-0.091286,medium_negative,original,recovery_y_positive_005,88,frame_000088.png
14,recovery_y_positive_005__000088,sample_000014_mirrored.png,0.091286,medium_positive,horizontal_reflection,recovery_y_positive_005,88,frame_000088.png
15,recovery_y_negative_005__000038,sample_000015_original.png,-0.091054,medium_negative,original,recovery_y_negative_005,38,frame_000038.png
16,recovery_y_negative_005__000038,sample_000016_mirrored.png,0.091054,medium_positive,horizontal_reflection,recovery_y_negative_005,38,frame_000038.png
17,run_20260720_210122__000086,sample_000017_original.png,-0.038253,centre,original,run_20260720_210122,86,frame_000086.png
18,run_20260720_210122__000086,sample_000018_mirrored.png,0.038253,centre,horizontal_reflection,run_20260720_210122,86,frame_000086.png
19,medium_y_positive_003__000001,sample_000019_original.png,0.781901,strong_positive,original,medium_y_positive_003,1,frame_000001.png
20,medium_y_positive_003__000001,sample_000020_mirrored.png,-0.781901,strong_negative,horizontal_reflection,medium_y_positive_003,1,frame_000001.png
21,medium_y_positive_003__000044,sample_000021_original.png,-0.0284,centre,original,medium_y_positive_003,44,frame_000044.png
22,medium_y_positive_003__000044,sample_000022_mirrored.png,0.0284,centre,horizontal_reflection,medium_y_positive_003,44,frame_000044.png
23,recovery_y_positive_005__000033,sample_000023_original.png,0.060774,medium_positive,original,recovery_y_positive_005,33,frame_000033.png
24,recovery_y_positive_005__000033,sample_000024_mirrored.png,-0.060774,medium_negative,horizontal_reflection,recovery_y_positive_005,33,frame_000033.png
25,run_20260720_210122__000279,sample_000025_original.png,0.03,centre,original,run_20260720_210122,279,frame_000279.png
26,run_20260720_210122__000279,sample_000026_mirrored.png,-0.03,centre,horizontal_reflection,run_20260720_210122,279,frame_000279.png
27,recovery_y_positive_005__000067,sample_000027_original.png,-0.075961,medium_negative,original,recovery_y_positive_005,67,frame_000067.png
28,recovery_y_positive_005__000067,sample_000028_mirrored.png,0.075961,medium_positive,horizontal_reflection,recovery_y_positive_005,67,frame_000067.png
29,run_20260720_210122__000406,sample_000029_original.png,0.006716,centre,original,run_20260720_210122,406,frame_000406.png
30,run_20260720_210122__000406,sample_000030_mirrored.png,-0.006716,centre,horizontal_reflection,run_20260720_210122,406,frame_000406.png
31,run_20260720_210122__000449,sample_000031_original.png,-0.016193,centre,original,run_20260720_210122,449,frame_000449.png
32,run_20260720_210122__000449,sample_000032_mirrored.png,0.016193,centre,horizontal_reflection,run_20260720_210122,449,frame_000449.png
33,run_20260720_210122__000001,sample_000033_original.png,-0.13807,medium_negative,original,run_20260720_210122,1,frame_000001.png
34,run_20260720_210122__000001,sample_000034_mirrored.png,0.13807,medium_positive,horizontal_reflection,run_20260720_210122,1,frame_000001.png
35,run_20260720_210122__000251,sample_000035_original.png,0.03,centre,original,run_20260720_210122,251,frame_000251.png
36,run_20260720_210122__000251,sample_000036_mirrored.png,-0.03,centre,horizontal_reflection,run_20260720_210122,251,frame_000251.png
37,run_20260720_210122__000335,sample_000037_original.png,0.026059,centre,original,run_20260720_210122,335,frame_000335.png
38,run_20260720_210122__000335,sample_000038_mirrored.png,-0.026059,centre,horizontal_reflection,run_20260720_210122,335,frame_000335.png
39,recovery_y_negative_005__000020,sample_000039_original.png,-0.277583,strong_negative,original,recovery_y_negative_005,20,frame_000020.png
40,recovery_y_negative_005__000020,sample_000040_mirrored.png,0.277583,strong_positive,horizontal_reflection,recovery_y_negative_005,20,frame_000020.png
41,recovery_y_positive_005__000003,sample_000041_original.png,1.0,strong_positive,original,recovery_y_positive_005,3,frame_000003.png
42,recovery_y_positive_005__000003,sample_000042_mirrored.png,-1.0,strong_negative,horizontal_reflection,recovery_y_positive_005,3,frame_000003.png
43,medium_y_negative_003__000028,sample_000043_original.png,-0.118136,medium_negative,original,medium_y_negative_003,28,frame_000028.png
44,medium_y_negative_003__000028,sample_000044_mirrored.png,0.118136,medium_positive,horizontal_reflection,medium_y_negative_003,28,frame_000028.png
45,recovery_y_positive_005__000084,sample_000045_original.png,-0.094064,medium_negative,original,recovery_y_positive_005,84,frame_000084.png
46,recovery_y_positive_005__000084,sample_000046_mirrored.png,0.094064,medium_positive,horizontal_reflection,recovery_y_positive_005,84,frame_000084.png
47,run_20260720_210122__000017,sample_000047_original.png,-0.035963,centre,original,run_20260720_210122,17,frame_000017.png
48,run_20260720_210122__000017,sample_000048_mirrored.png,0.035963,centre,horizontal_reflection,run_20260720_210122,17,frame_000017.png
49,run_20260720_210122__000255,sample_000049_original.png,0.015989,centre,original,run_20260720_210122,255,frame_000255.png
50,run_20260720_210122__000255,sample_000050_mirrored.png,-0.015989,centre,horizontal_reflection,run_20260720_210122,255,frame_000255.png
51,medium_y_positive_003__000012,sample_000051_original.png,0.181027,strong_positive,original,medium_y_positive_003,12,frame_000012.png
52,medium_y_positive_003__000012,sample_000052_mirrored.png,-0.181027,strong_negative,horizontal_reflection,medium_y_positive_003,12,frame_000012.png
53,run_20260720_210122__000099,sample_000053_original.png,-0.027948,centre,original,run_20260720_210122,99,frame_000099.png
54,run_20260720_210122__000099,sample_000054_mirrored.png,0.027948,centre,horizontal_reflection,run_20260720_210122,99,frame_000099.png
55,medium_y_negative_003__000019,sample_000055_original.png,-0.188657,strong_negative,original,medium_y_negative_003,19,frame_000019.png
56,medium_y_negative_003__000019,sample_000056_mirrored.png,0.188657,strong_positive,horizontal_reflection,medium_y_negative_003,19,frame_000019.png
57,medium_y_positive_003__000061,sample_000057_original.png,-0.056204,medium_negative,original,medium_y_positive_003,61,frame_000061.png
58,medium_y_positive_003__000061,sample_000058_mirrored.png,0.056204,medium_positive,horizontal_reflection,medium_y_positive_003,61,frame_000061.png
59,medium_y_positive_003__000034,sample_000059_original.png,0.005945,centre,original,medium_y_positive_003,34,frame_000034.png
60,medium_y_positive_003__000034,sample_000060_mirrored.png,-0.005945,centre,horizontal_reflection,medium_y_positive_003,34,frame_000034.png
61,recovery_y_positive_005__000019,sample_000061_original.png,0.212738,strong_positive,original,recovery_y_positive_005,19,frame_000019.png
62,recovery_y_positive_005__000019,sample_000062_mirrored.png,-0.212738,strong_negative,horizontal_reflection,recovery_y_positive_005,19,frame_000019.png
63,recovery_y_negative_005__000027,sample_000063_original.png,-0.193186,strong_negative,original,recovery_y_negative_005,27,frame_000027.png
64,recovery_y_negative_005__000027,sample_000064_mirrored.png,0.193186,strong_positive,horizontal_reflection,recovery_y_negative_005,27,frame_000027.png
65,recovery_y_positive_005__000053,sample_000065_original.png,-0.053667,medium_negative,original,recovery_y_positive_005,53,frame_000053.png
66,recovery_y_positive_005__000053,sample_000066_mirrored.png,0.053667,medium_positive,horizontal_reflection,recovery_y_positive_005,53,frame_000053.png
67,run_20260720_210122__000053,sample_000067_original.png,-0.033636,centre,original,run_20260720_210122,53,frame_000053.png
68,run_20260720_210122__000053,sample_000068_mirrored.png,0.033636,centre,horizontal_reflection,run_20260720_210122,53,frame_000053.png
69,medium_y_negative_003__000004,sample_000069_original.png,-0.970394,strong_negative,original,medium_y_negative_003,4,frame_000004.png
70,medium_y_negative_003__000004,sample_000070_mirrored.png,0.970394,strong_positive,horizontal_reflection,medium_y_negative_003,4,frame_000004.png
71,recovery_y_negative_005__000033,sample_000071_original.png,-0.118724,medium_negative,original,recovery_y_negative_005,33,frame_000033.png
72,recovery_y_negative_005__000033,sample_000072_mirrored.png,0.118724,medium_positive,horizontal_reflection,recovery_y_negative_005,33,frame_000033.png
