sample_id,image_filename,simulation_time,normalized_error,steering_correction,steering_target,left_speed,right_speed,line_detected,contour_area
1,frame_000001.png,0.0320,-0.406250,-1.500000,-1.000000,-0.300000,2.700000,1,8756.00
2,frame_000002.png,0.0640,-0.462500,-1.500000,-1.000000,-0.300000,2.700000,1,10025.00
3,frame_000003.png,0.0960,-0.575000,-1.500000,-1.000000,-0.300000,2.700000,1,13044.00
4,frame_000004.png,0.1280,-0.537500,-1.455591,-0.970394,-0.255591,2.655591,1,11917.00
5,frame_000005.png,0.1600,-0.475000,-1.098998,-0.732665,0.101002,2.298998,1,11597.50
6,frame_000006.png,0.1920,-0.425000,-0.850342,-0.566895,0.349658,2.050342,1,11363.00
7,frame_000007.png,0.2240,-0.393750,-0.711721,-0.474481,0.488279,1.911721,1,11193.50
8,frame_000008.png,0.2560,-0.362500,-0.593693,-0.395796,0.606307,1.793693,1,11057.00
9,frame_000009.png,0.2880,-0.343750,-0.538024,-0.358683,0.661976,1.738024,1,10961.50
10,frame_000010.png,0.3200,-0.325000,-0.487834,-0.325223,0.712166,1.687834,1,10873.50
11,frame_000011.png,0.3520,-0.306250,-0.441755,-0.294503,0.758245,1.641755,1,10806.50
12,frame_000012.png,0.3840,-0.287500,-0.398757,-0.265838,0.801243,1.598757,1,10764.00
13,frame_000013.png,0.4160,-0.275000,-0.381529,-0.254353,0.818471,1.581529,1,10720.00
14,frame_000014.png,0.4480,-0.262500,-0.362983,-0.241988,0.837017,1.562983,1,10667.00
15,frame_000015.png,0.4800,-0.250000,-0.343448,-0.228965,0.856552,1.543448,1,10651.50
16,frame_000016.png,0.5120,-0.237500,-0.323172,-0.215448,0.876828,1.523172,1,10580.00
17,frame_000017.png,0.5440,-0.225000,-0.302340,-0.201560,0.897660,1.502340,1,10576.00
18,frame_000018.png,0.5760,-0.212500,-0.281091,-0.187394,0.918909,1.481091,1,10586.50
19,frame_000019.png,0.6080,-0.206250,-0.282986,-0.188657,0.917014,1.482986,1,10574.00
20,frame_000020.png,0.6400,-0.193750,-0.258138,-0.172092,0.941862,1.458138,1,10555.00
21,frame_000021.png,0.6720,-0.187500,-0.257334,-0.171556,0.942666,1.457334,1,10544.00
22,frame_000022.png,0.7040,-0.175000,-0.230461,-0.153641,0.969539,1.430461,1,10537.50
23,frame_000023.png,0.7360,-0.168750,-0.228139,-0.152093,0.971861,1.428139,1,10533.50
24,frame_000024.png,0.7680,-0.156250,-0.200128,-0.133418,0.999872,1.400128,1,10525.00
25,frame_000025.png,0.8000,-0.150000,-0.196951,-0.131301,1.003049,1.396951,1,10518.00
26,frame_000026.png,0.8320,-0.143750,-0.191756,-0.127838,1.008244,1.391756,1,10517.50
27,frame_000027.png,0.8640,-0.137500,-0.185048,-0.123365,1.014952,1.385048,1,10509.50
28,frame_000028.png,0.8960,-0.131250,-0.177204,-0.118136,1.022796,1.377204,1,10508.00
29,frame_000029.png,0.9280,-0.125000,-0.168508,-0.112339,1.031492,1.368508,1,10499.50
30,frame_000030.png,0.9600,-0.118750,-0.159174,-0.106116,1.040826,1.359174,1,10491.00
31,frame_000031.png,0.9920,-0.112500,-0.149361,-0.099574,1.050639,1.349361,1,10492.50
32,frame_000032.png,1.0240,-0.106250,-0.139189,-0.092793,1.060811,1.339189,1,10482.50
33,frame_000033.png,1.0560,-0.100000,-0.128747,-0.085831,1.071253,1.328747,1,10477.50
34,frame_000034.png,1.0880,-0.093750,-0.118103,-0.078736,1.081897,1.318103,1,10472.50
35,frame_000035.png,1.1200,-0.087500,-0.107308,-0.071539,1.092692,1.307308,1,10468.00
36,frame_000036.png,1.1520,-0.081250,-0.096399,-0.064266,1.103601,1.296399,1,10461.00
37,frame_000037.png,1.1840,-0.081250,-0.108862,-0.072574,1.091138,1.308862,1,10458.50
38,frame_000038.png,1.2160,-0.075000,-0.094752,-0.063168,1.105248,1.294752,1,10459.00
