sample_id,image_filename,simulation_time,normalized_error,steering_correction,steering_target,left_speed,right_speed,line_detected,contour_area
1,frame_000001.png,0.0320,0.312500,1.172852,0.781901,2.372852,0.027148,1,9019.00
2,frame_000002.png,0.0640,0.337500,1.114092,0.742728,2.314092,0.085908,1,9724.50
3,frame_000003.png,0.0960,0.450000,1.409670,0.939780,2.609670,-0.209670,1,12519.50
4,frame_000004.png,0.1280,0.406250,1.095554,0.730369,2.295554,0.104446,1,11463.50
5,frame_000005.png,0.1600,0.356250,0.816821,0.544548,2.016821,0.383179,1,11299.50
6,frame_000006.png,0.1920,0.325000,0.655643,0.437096,1.855643,0.544357,1,11165.50
7,frame_000007.png,0.2240,0.293750,0.520697,0.347132,1.720697,0.679303,1,11086.50
8,frame_000008.png,0.2560,0.275000,0.452339,0.301560,1.652339,0.747661,1,11019.00
9,frame_000009.png,0.2880,0.250000,0.369176,0.246118,1.569176,0.830824,1,10958.00
10,frame_000010.png,0.3200,0.237500,0.342468,0.228312,1.542468,0.857532,1,10925.50
11,frame_000011.png,0.3520,0.218750,0.293355,0.195570,1.493355,0.906645,1,10900.50
12,frame_000012.png,0.3840,0.206250,0.271540,0.181027,1.471540,0.928460,1,10880.00
13,frame_000013.png,0.4160,0.193750,0.249553,0.166369,1.449553,0.950447,1,10870.50
14,frame_000014.png,0.4480,0.181250,0.227438,0.151626,1.427438,0.972562,1,10864.50
15,frame_000015.png,0.4800,0.168750,0.205227,0.136818,1.405227,0.994773,1,10861.00
16,frame_000016.png,0.5120,0.162500,0.206401,0.137601,1.406401,0.993599,1,10861.50
17,frame_000017.png,0.5440,0.150000,0.181012,0.120674,1.381012,1.018988,1,10869.00
18,frame_000018.png,0.5760,0.137500,0.156345,0.104230,1.356345,1.043655,1,10870.00
19,frame_000019.png,0.6080,0.131250,0.155676,0.103784,1.355676,1.044324,1,10874.00
20,frame_000020.png,0.6400,0.125000,0.152363,0.101575,1.352363,1.047637,1,10877.50
21,frame_000021.png,0.6720,0.112500,0.123608,0.082405,1.323608,1.076392,1,10890.50
22,frame_000022.png,0.7040,0.106250,0.119874,0.079916,1.319874,1.080126,1,10899.50
23,frame_000023.png,0.7360,0.100000,0.114261,0.076174,1.314261,1.085739,1,10926.00
24,frame_000024.png,0.7680,0.087500,0.083782,0.055854,1.283782,1.116218,1,10919.00
25,frame_000025.png,0.8000,0.081250,0.078754,0.052503,1.278754,1.121246,1,10925.50
26,frame_000026.png,0.8320,0.075000,0.072171,0.048114,1.272171,1.127829,1,10930.50
27,frame_000027.png,0.8640,0.068750,0.064421,0.042948,1.264421,1.135579,1,10940.00
28,frame_000028.png,0.8960,0.062500,0.055796,0.037198,1.255796,1.144204,1,10944.00
29,frame_000029.png,0.9280,0.062500,0.069972,0.046648,1.269972,1.130028,1,10954.00
30,frame_000030.png,0.9600,0.056250,0.057147,0.038098,1.257147,1.142853,1,10956.50
31,frame_000031.png,0.9920,0.050000,0.044716,0.029811,1.244716,1.155284,1,10966.50
32,frame_000032.png,1.0240,0.043750,0.032580,0.021720,1.232580,1.167420,1,10974.00
33,frame_000033.png,1.0560,0.037500,0.020665,0.013777,1.220665,1.179335,1,10978.50
34,frame_000034.png,1.0880,0.031250,0.008917,0.005945,1.208917,1.191083,1,10980.50
35,frame_000035.png,1.1200,0.031250,0.020750,0.013834,1.220750,1.179250,1,10984.50
36,frame_000036.png,1.1520,0.025000,0.006168,0.004112,1.206168,1.193832,1,10989.50
37,frame_000037.png,1.1840,0.018750,-0.007581,-0.005054,1.192419,1.207581,1,10987.50
