sample_id,image_filename,simulation_time,normalized_error,steering_correction,steering_target,left_speed,right_speed,line_detected,contour_area
1,frame_000001.png,0.0320,-0.643750,-1.500000,-1.000000,-0.300000,2.700000,1,8887.50
2,frame_000002.png,0.0640,-0.731250,-1.500000,-1.000000,-0.300000,2.700000,1,10193.50
3,frame_000003.png,0.0960,-0.831250,-1.500000,-1.000000,-0.300000,2.700000,1,9021.00
4,frame_000004.png,0.1280,-0.812500,-1.500000,-1.000000,-0.300000,2.700000,1,10271.50
5,frame_000005.png,0.1600,-0.768750,-1.500000,-1.000000,-0.300000,2.700000,1,11430.50
6,frame_000006.png,0.1920,-0.712500,-1.500000,-1.000000,-0.300000,2.700000,1,11545.00
7,frame_000007.png,0.2240,-0.650000,-1.228147,-0.818765,-0.028147,2.428147,1,11337.50
8,frame_000008.png,0.2560,-0.600000,-1.025954,-0.683969,0.174046,2.225954,1,11199.00
9,frame_000009.png,0.2880,-0.562500,-0.898723,-0.599149,0.301277,2.098723,1,11079.50
10,frame_000010.png,0.3200,-0.531250,-0.809882,-0.539922,0.390118,2.009882,1,11039.50
11,frame_000011.png,0.3520,-0.500000,-0.729189,-0.486126,0.470811,1.929189,1,10958.50
12,frame_000012.png,0.3840,-0.468750,-0.654607,-0.436404,0.545393,1.854607,1,10917.50
13,frame_000013.png,0.4160,-0.443750,-0.608064,-0.405376,0.591936,1.808064,1,10890.00
14,frame_000014.png,0.4480,-0.425000,-0.585365,-0.390243,0.614635,1.785365,1,10871.50
15,frame_000015.png,0.4800,-0.400000,-0.536445,-0.357630,0.663555,1.736445,1,10857.00
16,frame_000016.png,0.5120,-0.381250,-0.511963,-0.341309,0.688037,1.711963,1,10844.00
17,frame_000017.png,0.5440,-0.362500,-0.485164,-0.323442,0.714836,1.685164,1,10840.50
18,frame_000018.png,0.5760,-0.343750,-0.456627,-0.304418,0.743373,1.656627,1,10835.00
19,frame_000019.png,0.6080,-0.331250,-0.450243,-0.300162,0.749757,1.650243,1,10829.00
20,frame_000020.png,0.6400,-0.312500,-0.416374,-0.277583,0.783626,1.616374,1,10833.50
21,frame_000021.png,0.6720,-0.300000,-0.405991,-0.270661,0.794009,1.605991,1,10834.00
22,frame_000022.png,0.7040,-0.281250,-0.369122,-0.246082,0.830878,1.569122,1,10831.50
23,frame_000023.png,0.7360,-0.268750,-0.356490,-0.237660,0.843510,1.556490,1,10833.00
24,frame_000024.png,0.7680,-0.256250,-0.341391,-0.227594,0.858609,1.541391,1,10834.50
25,frame_000025.png,0.8000,-0.243750,-0.324442,-0.216295,0.875558,1.524442,1,10835.00
26,frame_000026.png,0.8320,-0.225000,-0.282648,-0.188432,0.917352,1.482648,1,10839.50
27,frame_000027.png,0.8640,-0.218750,-0.289779,-0.193186,0.910221,1.489779,1,10840.00
28,frame_000028.png,0.8960,-0.206250,-0.268858,-0.179238,0.931142,1.468858,1,10840.50
29,frame_000029.png,0.9280,-0.193750,-0.247542,-0.165028,0.952458,1.447542,1,10840.50
30,frame_000030.png,0.9600,-0.181250,-0.225930,-0.150620,0.974070,1.425930,1,10843.50
31,frame_000031.png,0.9920,-0.175000,-0.227553,-0.151702,0.972447,1.427553,1,10843.00
32,frame_000032.png,1.0240,-0.162500,-0.202500,-0.135000,0.997500,1.402500,1,10847.00
33,frame_000033.png,1.0560,-0.150000,-0.178086,-0.118724,1.021914,1.378086,1,10848.00
