sample_id,image_filename,simulation_time,normalized_error,steering_correction,steering_target,left_speed,right_speed,line_detected,contour_area
1,frame_000001.png,0.0320,0.512500,1.500000,1.000000,2.700000,-0.300000,1,9032.00
2,frame_000002.png,0.0640,0.606250,1.500000,1.000000,2.700000,-0.300000,1,9760.00
3,frame_000003.png,0.0960,0.762500,1.500000,1.000000,2.700000,-0.300000,1,11537.00
4,frame_000004.png,0.1280,0.718750,1.500000,1.000000,2.700000,-0.300000,1,11495.50
5,frame_000005.png,0.1600,0.650000,1.500000,1.000000,2.700000,-0.300000,1,11356.50
6,frame_000006.png,0.1920,0.593750,1.234332,0.822888,2.434332,-0.034332,1,11259.50
7,frame_000007.png,0.2240,0.543750,1.005280,0.670187,2.205280,0.194720,1,11177.50
8,frame_000008.png,0.2560,0.500000,0.834448,0.556299,2.034448,0.365552,1,11150.00
9,frame_000009.png,0.2880,0.468750,0.733551,0.489034,1.933551,0.466449,1,11128.50
10,frame_000010.png,0.3200,0.437500,0.643816,0.429210,1.843816,0.556184,1,11131.00
11,frame_000011.png,0.3520,0.412500,0.585909,0.390606,1.785909,0.614091,1,11091.50
12,frame_000012.png,0.3840,0.387500,0.531228,0.354152,1.731228,0.668772,1,11104.00
13,frame_000013.png,0.4160,0.362500,0.478968,0.319312,1.678968,0.721032,1,11127.50
14,frame_000014.png,0.4480,0.343750,0.451980,0.301320,1.651980,0.748020,1,11146.00
15,frame_000015.png,0.4800,0.325000,0.423301,0.282201,1.623301,0.776699,1,11176.00
16,frame_000016.png,0.5120,0.306250,0.393355,0.262237,1.593355,0.806645,1,11206.50
17,frame_000017.png,0.5440,0.287500,0.362458,0.241638,1.562458,0.837542,1,11234.00
18,frame_000018.png,0.5760,0.275000,0.354304,0.236203,1.554304,0.845696,1,11269.00
19,frame_000019.png,0.6080,0.256250,0.319107,0.212738,1.519107,0.880893,1,11305.50
20,frame_000020.png,0.6400,0.243750,0.307729,0.205152,1.507729,0.892271,1,11347.00
21,frame_000021.png,0.6720,0.225000,0.270113,0.180075,1.470113,0.929887,1,11379.00
22,frame_000022.png,0.7040,0.212500,0.256921,0.171280,1.456921,0.943079,1,11414.50
23,frame_000023.png,0.7360,0.200000,0.241401,0.160934,1.441401,0.958599,1,11453.00
24,frame_000024.png,0.7680,0.187500,0.224137,0.149425,1.424137,0.975863,1,11487.50
25,frame_000025.png,0.8000,0.175000,0.205564,0.137042,1.405564,0.994436,1,11516.50
26,frame_000026.png,0.8320,0.162500,0.186009,0.124006,1.386009,1.013991,1,11558.00
27,frame_000027.png,0.8640,0.156250,0.189174,0.126116,1.389174,1.010826,1,11570.00
