Method,Run,RunNo,StartOffset_mm,Samples,Duration_s,Completion_%,MAE_mm,RMSE_mm,MaxAbs_mm,LineVisible_%,Smoothness
CNN+PD Hybrid,cnnpd__baseline_run_003,3,-45.0,509,16.288,98.05,7.22,12.164,45.0,94.11,0.01022
CNN+PD Hybrid,cnnpd__baseline_run_002,2,-30.0,506,16.192,98.0,5.477,8.183,30.0,94.07,0.01053
CNN+PD Hybrid,cnnpd__baseline_run_001,1,-15.0,504,16.128,98.02,3.866,4.764,15.0,94.05,0.0095
CNN+PD Hybrid,cnnpd__baseline_run_004,4,0.0,503,16.096,98.1,3.349,3.694,6.303,93.84,0.00701
CNN+PD Hybrid,cnnpd__baseline_run_005,5,15.0,502,16.064,98.08,5.185,6.283,15.0,94.02,0.00864
CNN+PD Hybrid,cnnpd__baseline_run_006,6,30.0,502,16.064,98.12,6.982,9.962,30.0,93.82,0.01129
CNN+PD Hybrid,cnnpd__baseline_run_007,7,45.0,502,16.064,98.06,8.842,13.995,45.0,94.02,0.01203
P,p__baseline_run_003,3,-45.0,493,15.776,95.46,7.2,12.323,45.0,97.16,0.00383
P,p__baseline_run_002,2,-30.0,490,15.68,95.42,5.478,8.334,30.0,97.14,0.00292
P,p__baseline_run_001,1,-15.0,488,15.616,95.44,3.868,4.816,15.0,97.13,0.00205
P,p__baseline_run_004,4,0.0,487,15.584,95.52,3.293,3.622,6.222,97.13,0.00126
P,p__baseline_run_005,5,15.0,486,15.552,95.5,5.15,6.278,15.0,97.12,0.00212
P,p__baseline_run_006,6,30.0,485,15.52,95.38,7.025,10.123,30.0,97.11,0.00312
P,p__baseline_run_007,7,45.0,486,15.552,95.46,8.881,14.192,45.0,97.12,0.00414
PD,pd__baseline_run_003,3,-45.0,493,15.776,95.48,7.34,12.31,45.0,97.16,0.00571
PD,pd__baseline_run_002,2,-30.0,490,15.68,95.43,5.526,8.235,30.0,97.14,0.00558
PD,pd__baseline_run_001,1,-15.0,488,15.616,95.45,3.912,4.793,15.0,97.13,0.00409
PD,pd__baseline_run_004,4,0.0,486,15.552,95.37,3.44,3.758,6.237,97.12,0.00184
PD,pd__baseline_run_005,5,15.0,486,15.552,95.52,5.302,6.393,15.0,97.12,0.00329
PD,pd__baseline_run_006,6,30.0,485,15.52,95.4,7.181,10.169,30.0,97.11,0.00567
PD,pd__baseline_run_007,7,45.0,486,15.552,95.5,9.09,14.263,45.0,97.12,0.00652
