Method,Offset_mm,Run,Saturated_%,Clamped_%,err_mean_abs,err_std,err_min,err_max,corr_mean_abs,Recover3mm_s,cte_hash
CNN+PD Hybrid,-45.0,3,0.0,0.39,0.0525,0.0901,-0.692,0.072,0.0936,14.75,3.6751
P,-45.0,3,0.0,0.0,0.0562,0.1004,-0.718,0.073,0.1011,14.72,3.549835
PD,-45.0,3,0.0,0.41,0.0533,0.0926,-0.718,0.071,0.0941,14.85,3.618852
CNN+PD Hybrid,-30.0,2,0.0,0.2,0.0469,0.0683,-0.501,0.073,0.0855,14.66,2.771373
P,-30.0,2,0.0,0.0,0.0487,0.0771,-0.502,0.073,0.0877,14.62,2.684242
PD,-30.0,2,0.0,0.2,0.0471,0.0692,-0.502,0.071,0.085,14.75,2.707801
CNN+PD Hybrid,-15.0,1,0.0,0.0,0.0443,0.0531,-0.289,0.072,0.0816,14.59,1.948497
P,-15.0,1,0.0,0.0,0.0461,0.0578,-0.285,0.073,0.083,14.56,1.887741
PD,-15.0,1,0.0,0.0,0.0445,0.0534,-0.285,0.071,0.0811,14.69,1.908852
CNN+PD Hybrid,0.0,4,0.0,0.0,0.0422,0.0463,-0.066,0.072,0.0779,14.56,1.684615
P,0.0,4,0.0,0.0,0.0443,0.048,-0.066,0.073,0.0797,14.53,1.603804
PD,0.0,4,0.0,0.0,0.0426,0.0462,-0.066,0.071,0.0777,14.62,1.671694
CNN+PD Hybrid,15.0,5,0.0,0.0,0.0441,0.0503,-0.094,0.159,0.0825,14.53,2.602624
P,15.0,5,0.0,0.0,0.0474,0.0535,-0.093,0.153,0.0854,14.5,2.502923
PD,15.0,5,0.0,0.0,0.0443,0.0503,-0.087,0.153,0.0825,14.59,2.576652
CNN+PD Hybrid,30.0,6,0.0,0.0,0.0509,0.0637,-0.117,0.377,0.0956,14.53,3.504903
P,30.0,6,0.0,0.0,0.0562,0.0715,-0.121,0.37,0.1012,14.5,3.406949
PD,30.0,6,0.0,0.0,0.0515,0.064,-0.111,0.37,0.0958,14.59,3.482934
CNN+PD Hybrid,45.0,7,0.0,0.2,0.0594,0.0842,-0.138,0.596,0.1095,14.53,4.438804
P,45.0,7,0.0,0.0,0.0657,0.0955,-0.151,0.587,0.1183,14.5,4.316005
PD,45.0,7,0.0,0.21,0.0601,0.0846,-0.135,0.587,0.1102,14.59,4.417629
