Method,World,baseColor,Line_grey,Completion_%,LineVisible_%,MAE_mm,RMSE_mm,MaxAbs_mm,Run
CNN+PD Hybrid,robust_c00030,0.03,49.1,41.95,57.8,40.64,52.786,120.163,cnnpd__robust_c00030_run_001
P,robust_c00030,0.03,16.3,95.38,97.11,7.025,10.123,30.0,p__robust_c00030_run_001
PD,robust_c00030,0.03,16.3,95.4,97.11,7.181,10.169,30.0,pd__robust_c00030_run_001
CNN+PD Hybrid,robust_c00050,0.05,49.6,42.31,58.18,40.83,53.01,120.202,cnnpd__robust_c00050_run_001
P,robust_c00050,0.05,16.8,95.38,97.11,7.025,10.123,30.0,p__robust_c00050_run_001
PD,robust_c00050,0.05,16.8,95.4,97.11,7.181,10.169,30.0,pd__robust_c00050_run_001
CNN+PD Hybrid,robust_c00070,0.07,50.7,43.19,58.22,41.346,53.605,120.46,cnnpd__robust_c00070_run_001
P,robust_c00070,0.07,17.8,95.38,97.11,7.025,10.123,30.0,p__robust_c00070_run_001
PD,robust_c00070,0.07,17.8,95.4,97.11,7.181,10.169,30.0,pd__robust_c00070_run_001
CNN+PD Hybrid,robust_c00100,0.1,51.8,44.23,58.87,42.009,54.344,120.896,cnnpd__robust_c00100_run_001
P,robust_c00100,0.1,18.3,95.38,97.11,7.025,10.123,30.0,p__robust_c00100_run_001
PD,robust_c00100,0.1,18.3,95.4,97.11,7.181,10.169,30.0,pd__robust_c00100_run_001
CNN+PD Hybrid,robust_c00300,0.3,27.6,98.07,93.81,15.679,19.841,35.755,cnnpd__robust_c00300_run_001
P,robust_c00300,0.3,23.8,95.38,97.11,7.025,10.123,30.0,p__robust_c00300_run_001
PD,robust_c00300,0.3,23.8,95.4,97.11,7.181,10.169,30.0,pd__robust_c00300_run_001
CNN+PD Hybrid,robust_c01000,1.0,43.5,98.12,93.82,6.982,9.962,30.0,cnnpd__robust_c01000_run_001
P,robust_c01000,1.0,36.9,95.38,97.11,7.025,10.123,30.0,p__robust_c01000_run_001
PD,robust_c01000,1.0,36.9,95.4,97.11,7.181,10.169,30.0,pd__robust_c01000_run_001
CNN+PD Hybrid,robust_c03000,3.0,60.8,98.12,93.82,6.988,9.955,30.0,cnnpd__robust_c03000_run_001
P,robust_c03000,3.0,54.0,95.38,97.11,7.025,10.123,30.0,p__robust_c03000_run_001
PD,robust_c03000,3.0,54.0,95.4,97.11,7.181,10.169,30.0,pd__robust_c03000_run_001
CNN+PD Hybrid,robust_c08000,8.0,85.1,98.11,93.82,6.858,9.874,30.0,cnnpd__robust_c08000_run_001
P,robust_c08000,8.0,79.1,95.38,97.11,7.083,10.152,30.0,p__robust_c08000_run_001
PD,robust_c08000,8.0,79.1,95.41,97.11,7.254,10.221,30.0,pd__robust_c08000_run_001
CNN+PD Hybrid,robust_c12000,12.0,99.1,98.1,92.43,6.793,9.847,30.0,cnnpd__robust_c12000_run_001
P,robust_c12000,12.0,91.3,94.21,97.07,6.659,10.346,30.0,p__robust_c12000_run_001
PD,robust_c12000,12.0,91.3,94.23,97.07,6.822,10.4,30.0,pd__robust_c12000_run_001
CNN+PD Hybrid,robust_c16000,16.0,109.1,98.1,0.0,6.831,9.874,30.0,cnnpd__robust_c16000_run_001
P,robust_c16000,16.0,99.0,8.65,0.0,30.0,30.0,30.0,p__robust_c16000_run_001
PD,robust_c16000,16.0,99.0,8.65,0.0,30.0,30.0,30.0,pd__robust_c16000_run_001
CNN+PD Hybrid,robust_c22000,22.0,123.5,98.12,0.0,6.958,9.963,30.0,cnnpd__robust_c22000_run_001
P,robust_c22000,22.0,114.4,8.65,0.0,30.0,30.0,30.0,p__robust_c22000_run_001
PD,robust_c22000,22.0,114.4,8.65,0.0,30.0,30.0,30.0,pd__robust_c22000_run_001
CNN+PD Hybrid,robust_c30000,30.0,139.5,98.12,0.0,6.987,10.021,30.0,cnnpd__robust_c30000_run_001
P,robust_c30000,30.0,131.8,8.65,0.0,30.0,30.0,30.0,p__robust_c30000_run_001
PD,robust_c30000,30.0,131.8,8.65,0.0,30.0,30.0,30.0,pd__robust_c30000_run_001
