run_file,method,world,start_offset_mm,samples,run_time_s,completion_pct,line_visible_pct,roi_mean_grey,mae_mm,rmse_mm,max_abs_mm,overshoot_mm,settling_s,mean_abs_p,mean_abs_d,d_over_p_pct,cnn_latency_mean_ms,cnn_latency_p95_ms
cnnpd__baseline_run_003,CNN+PD,baseline,30.0,485,15.552,95.401,97.113,197.478,7.1913,10.1336,30.0,6.3038,15.008,0.093542,0.02093,22.375,11.796,14.5401
cnnpd__baseline_run_004,CNN+PD,baseline,30.0,485,15.552,95.401,97.113,197.478,7.1913,10.1336,30.0,6.3038,15.008,0.093542,0.02093,22.375,10.9857,13.2369
cnnpd__baseline_run_005,CNN+PD,baseline,0.0,486,15.584,95.378,97.119,197.725,3.431,3.7534,6.3026,6.3026,15.04,0.077299,0.009824,12.709,12.8914,15.2329
cnnpd__baseline_run_006,CNN+PD,baseline,30.0,485,15.552,95.401,97.113,197.483,7.1918,10.1338,30.0,6.3067,15.008,0.0936,0.020901,22.33,12.5442,15.0656
p__baseline_run_001,P,baseline,0.0,487,15.616,95.521,97.125,197.795,3.2932,3.622,6.2221,6.2221,14.944,0.079655,0.0,0.0,,
p__baseline_run_002,P,baseline,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__baseline_run_001,PD,baseline,0.0,486,15.584,95.375,97.119,197.731,3.4397,3.7577,6.2374,6.2374,15.04,0.076603,0.007374,9.627,,
pd__baseline_run_002,PD,baseline,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0010_run_001,CNN+PD,robust_c0010,30.0,485,15.552,95.401,97.113,197.483,7.1918,10.1338,30.0,6.3067,15.008,0.0936,0.020901,22.33,13.187,16.4793
p__robust_c0010_run_001,P,robust_c0010,30.0,485,15.552,95.375,97.113,197.473,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0010_run_001,PD,robust_c0010,30.0,485,15.552,95.4,97.113,197.493,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0015_run_001,CNN+PD,robust_c0015,30.0,485,15.552,95.401,97.113,197.517,7.1918,10.1332,30.0,6.3088,15.008,0.093552,0.020912,22.353,12.7454,15.0714
p__robust_c0015_run_001,P,robust_c0015,30.0,485,15.552,95.375,97.113,197.505,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0015_run_001,PD,robust_c0015,30.0,485,15.552,95.4,97.113,197.525,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0020_run_001,CNN+PD,robust_c0020,30.0,485,15.552,95.401,97.113,197.544,7.1919,10.1336,30.0,6.3082,15.008,0.09354,0.020892,22.335,12.149,14.7878
p__robust_c0020_run_001,P,robust_c0020,30.0,485,15.552,95.375,97.113,197.536,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0020_run_001,PD,robust_c0020,30.0,485,15.552,95.4,97.113,197.556,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0025_run_001,CNN+PD,robust_c0025,30.0,485,15.552,95.401,97.113,197.562,7.191,10.1323,30.0,6.3118,15.008,0.093549,0.020896,22.337,13.0936,16.6239
p__robust_c0025_run_001,P,robust_c0025,30.0,485,15.552,95.375,97.113,197.557,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0025_run_001,PD,robust_c0025,30.0,485,15.552,95.4,97.113,197.577,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0030_run_001,CNN+PD,robust_c0030,30.0,485,15.552,95.401,97.113,197.599,7.188,10.1313,30.0,6.3062,15.008,0.093549,0.020855,22.294,15.3268,24.4993
p__robust_c0030_run_001,P,robust_c0030,30.0,485,15.552,95.375,97.113,197.587,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0030_run_001,PD,robust_c0030,30.0,485,15.552,95.4,97.113,197.607,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0035_run_001,CNN+PD,robust_c0035,30.0,485,15.552,95.401,97.113,197.622,7.1876,10.131,30.0,6.3074,15.008,0.093546,0.020862,22.301,13.0281,15.8751
p__robust_c0035_run_001,P,robust_c0035,30.0,485,15.552,95.375,97.113,197.614,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0035_run_001,PD,robust_c0035,30.0,485,15.552,95.4,97.113,197.634,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0040_run_001,CNN+PD,robust_c0040,30.0,485,15.552,95.401,97.113,197.645,7.1876,10.1308,30.0,6.3087,15.008,0.093556,0.020841,22.277,12.9516,15.7777
p__robust_c0040_run_001,P,robust_c0040,30.0,485,15.552,95.375,97.113,197.641,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0040_run_001,PD,robust_c0040,30.0,485,15.552,95.4,97.113,197.661,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__robust_c0050_run_001,CNN+PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.715,7.1847,10.1296,30.0,6.3027,15.008,0.093564,0.020924,22.364,13.385,16.8472
p__robust_c0050_run_001,P,robust_c0050,30.0,485,15.552,95.375,97.113,197.703,7.0246,10.1232,30.0,6.2061,14.912,0.101185,0.0,0.0,,
pd__robust_c0050_run_001,PD,robust_c0050,30.0,485,15.552,95.4,97.113,197.723,7.1813,10.1694,30.0,6.226,15.008,0.092761,0.0185,19.944,,
cnnpd__baseline_run_007,CNN+PD,baseline,0.0,486,15.584,95.378,97.119,197.725,3.431,3.7534,6.3026,6.3026,15.04,0.077299,0.009824,12.709,12.1745,14.3953
cnnpd__baseline_run_008,CNN+PD,baseline,30.0,485,15.552,95.401,97.113,197.483,7.1918,10.1338,30.0,6.3067,15.008,0.0936,0.020901,22.33,12.8956,15.142
p__baseline_run_003,P,baseline,0.0,487,15.616,95.521,97.125,197.795,3.2932,3.622,6.2221,6.2221,14.944,0.079655,0.0,0.0,,
