Method,World,InitialOffset_mm,Overshoot_mm,Overshoot_%,RiseTime_s,Settle3mm_s,ResidualRMS_mm,Run
CNN+PD Hybrid,baseline,15.0,0.237,1.58,3.968,3.296,4.145,cnnpd__baseline_run_001
CNN+PD Hybrid,baseline,30.0,0.496,1.65,3.968,3.968,8.351,cnnpd__baseline_run_002
CNN+PD Hybrid,baseline,45.0,0.85,1.89,3.648,4.288,12.615,cnnpd__baseline_run_003
CNN+PD Hybrid,baseline,15.0,0.142,0.95,4.032,3.232,4.192,cnnpd__baseline_run_005
CNN+PD Hybrid,baseline,30.0,0.192,0.64,3.968,3.968,8.328,cnnpd__baseline_run_006
CNN+PD Hybrid,baseline,45.0,0.153,0.34,4.0,4.448,12.557,cnnpd__baseline_run_007
P,baseline,15.0,0.204,1.36,3.776,3.104,4.228,p__baseline_run_001
P,baseline,30.0,0.475,1.58,3.808,3.808,8.498,p__baseline_run_002
P,baseline,45.0,0.803,1.78,3.84,4.16,12.76,p__baseline_run_003
P,baseline,15.0,0.113,0.75,3.84,3.072,4.275,p__baseline_run_005
P,baseline,30.0,0.139,0.46,3.872,3.872,8.56,p__baseline_run_006
P,baseline,45.0,0.075,0.17,3.904,4.416,12.816,p__baseline_run_007
PD,baseline,15.0,0.213,1.42,3.872,3.2,4.191,pd__baseline_run_001
PD,baseline,30.0,0.494,1.65,3.872,3.872,8.455,pd__baseline_run_002
PD,baseline,45.0,0.823,1.83,3.872,4.288,12.835,pd__baseline_run_003
PD,baseline,15.0,0.131,0.87,3.936,3.168,4.231,pd__baseline_run_005
PD,baseline,30.0,0.173,0.58,3.968,3.968,8.459,pd__baseline_run_006
PD,baseline,45.0,0.128,0.28,4.0,4.48,12.748,pd__baseline_run_007
